child,parent,label
крестный отец,крестный родитель,1
обман покупателей,нарушение правил торговли,1
военная тактика,"тактика, тактические действия",1
усмешка,улыбка,1
рецептура лекарства,рецепт приготовления,1
кулинарный рецепт,рецепт приготовления,1
читатель библиотеки,посетитель,1
завсегдатай,посетитель,1
бухгалтерский баланс,финансовый показатель,1
окупаемость капитальных вложений,финансовый показатель,1
платежеспособность,финансовый показатель,1
монетизация экономики,финансовый показатель,1
собираемость платежей,финансовый показатель,1
показатель деятельности банка,финансовый показатель,1
показатель доходности,финансовый показатель,1
рыночная капитализация,финансовый показатель,1
ликвидность (финансовый показатель),финансовый показатель,1
туризм,путешествие,1
паломничество,путешествие,1
круиз,путешествие,1
круговой тур,путешествие,1
спортивный поход,путешествие,1
автостоп (путешествие),путешествие,1
"странствовать, бродить по свету",путешествие,1
разъезжать с места на место,путешествие,1
туристическая поездка,путешествие,1
кругосветное путешествие,путешествие,1
сафари (путешествие),путешествие,1
путешествие под парусом,путешествие,1
"кудрявый, курчавый",внешняя черта,1
"четкий, четко очерченный",внешняя черта,1
зеркальный (гладкий и блестящий),внешняя черта,1
жемчужный цвет,внешняя черта,1
глянцевый (блестящий),внешняя черта,1
"переливчатый, с переливами",внешняя черта,1
"матовый, неглянцевый",внешняя черта,1
"нечеткий, неотчетливый",внешняя черта,1
ухоженный вид,внешняя черта,1
"рогатый, с рогами",внешняя черта,1
помятый (утомленный),внешняя черта,1
женственность,внешняя черта,1
особенности телосложения,внешняя черта,1
"запущенный, неухоженный",внешняя черта,1
глава церкви,глава организации,1
президент организации,глава организации,1
глава предприятия,глава организации,1
директор организации,глава организации,1
председатель организации,глава организации,1
"разбросать, расшвырять",бросить (переместить),1
"метать, бросать с размахом",бросить (переместить),1
сбросить вниз,бросить (переместить),1
подбросить вверх,бросить (переместить),1
вбросить,бросить (переместить),1
отбросить в сторону,бросить (переместить),1
"перебросить, бросить через",бросить (переместить),1
забросить (бросить куда-то или далеко),бросить (переместить),1
подбросить дополнительно,бросить (переместить),1
"бросаться, бросать друг в друга",бросить (переместить),1
"послать (бросить, направить)",бросить (переместить),1
"бахнуть, шарахнуть",бросить (переместить),1
перебросить (промахнуться),бросить (переместить),1
"передача мяча, шайбы",бросить (переместить),1
"бросок мяча, шайбы",бросить (переместить),1
борцовский бросок,бросить (переместить),1
гиперинфляция,инфляция,1
"забежать, заскочить (зайти ненадолго)",зайти по пути,1
"неприхотливый, непритязательный",умеренный (средний),1
почечная недостаточность,функциональная недостаточность органа,1
сердечная недостаточность,функциональная недостаточность органа,1
плавка металлов,варка (технологический процесс),1
опрос общественного мнения,"опрос, опрашивание",1
анкетирование,"опрос, опрашивание",1
рассадить по местам,"сажать, усаживать",1
"пересадить, посадить на другое место","сажать, усаживать",1
"сортировать, отсортировать",разобрать (навести порядок),1
разгрести (навести порядок),разобрать (навести порядок),1
индиго (краситель),"краситель, красящий агент",1
охра,"краситель, красящий агент",1
кармин (краска),"краситель, красящий агент",1
медицинский институт,медицинское учебное заведение,1
медицинское училище,медицинское учебное заведение,1
необузданный,"безудержный, неудержимый",1
"соскоблить, отскоблить",очистить верхний слой,1
онкогемоталогия,онкология,1
недостача,финансовое нарушение,1
финансовое преступление,финансовое нарушение,1
"автомобиль ""газель""",автомобиль газ,1
армировать (увеличить прочность введением арматуры),"упрочнить (сделать прочнее, крепче)",1
биоинженерия,биотехнология,1
музыкальное произведение,"сочинение (то, что сочинено)",1
литературное произведение,"сочинение (то, что сочинено)",1
статья (текст),"сочинение (то, что сочинено)",1
пародия (комическое или сатирическое подражание),"сочинение (то, что сочинено)",1
усмирить (сделать смирным),"успокоить, утихомирить",1
"укротить, обуздать","успокоить, утихомирить",1
городская земля,городская собственность,1
раввин,служитель культа,1
христианский священнослужитель,служитель культа,1
монах,служитель культа,1
мусульманский священнослужитель,служитель культа,1
церковнослужитель,служитель культа,1
религиозный проповедник,служитель культа,1
жрец,служитель культа,1
шаман (служитель культа),служитель культа,1
"викарий, помощник епископа",служитель культа,1
церковный иерарх,служитель культа,1
капеллан,служитель культа,1
монахиня,служитель культа,1
магистр ордена,служитель культа,1
чудодейственный,эффективный,1
технологичный,эффективный,1
электрогитара,электромузыкальный инструмент,1
синтезатор,электромузыкальный инструмент,1
арка (сооружение),ворота (вход),1
опровергнуть,"доказать, представить доказательство",1
изобличить (доказать виновность),"доказать, представить доказательство",1
"оправдаться (доказать правоту, невиновность)","доказать, представить доказательство",1
вырубка деревьев,свести (очистить),1
парламентские чтения,парламентские слушания,1
затухнуть (постепенно гаснуть),гаснуть (переставать гореть),1
мелкооптовая торговля,оптовая торговля,1
крупнооптовая торговля,оптовая торговля,1
чеченцы,вайнахи,1
ингуши,вайнахи,1
гидротехническое строительство,промышленное строительство,1
серьга,ювелирное изделие,1
колье,ювелирное изделие,1
кольцо (украшение),ювелирное изделие,1
ожерелье (украшение),ювелирное изделие,1
кулон (украшение),ювелирное изделие,1
браслет (украшение),ювелирное изделие,1
запонка,ювелирное изделие,1
брошь,ювелирное изделие,1
медальон,ювелирное изделие,1
корона монарха,ювелирное изделие,1
драгоценность,ювелирное изделие,1
ювелирная филигрань,ювелирное изделие,1
ювелирные подвески,ювелирное изделие,1
корона (украшение),ювелирное изделие,1
отбелить (осветлить),осветлить (сделать светлым),1
растянуть по времени,затянуть по времени,1
"копаться, канителиться",затянуть по времени,1
вдаться в рассуждения,затянуть по времени,1
полегание растений,"наклониться, склониться",1
"кланяться, делать поклон","наклониться, склониться",1
вираж (поворот с креном),"наклониться, склониться",1
просека,"вырубка, место вырубки",1
лесосека,"вырубка, место вырубки",1
прыскать (брызгать),"брызгать, разбрасывать брызги",1
"разбрызгать, распрыскать","брызгать, разбрасывать брызги",1
кровотечение,"вылиться, вытечь",1
пролиться,"вылиться, вытечь",1
"утечка жидкости, газа","вылиться, вытечь",1
фонтанирование,"вылиться, вытечь",1
перелиться через край,"вылиться, вытечь",1
почетное звание,звание,1
воинское звание,звание,1
ученая степень,звание,1
ученое звание,звание,1
классный чин,звание,1
спортивное звание,звание,1
духовный сан,звание,1
дворянский титул,звание,1
чемпионство,звание,1
титул победителя,звание,1
сопровождать (дополнить),приложить (добавить),1
несовершенная конкуренция,конкуренция,1
неценовая конкуренция,конкуренция,1
генератор,энергетическое оборудование,1
атомное оборудование,энергетическое оборудование,1
энергосиловая установка,энергетическое оборудование,1
солнечная энергетическая установка,энергетическое оборудование,1
теплоэнергетическая установка,энергетическое оборудование,1
"чад, удушливый дым",дым,1
распространение ядерного оружия,"распространить (сделать доступным, известным)",1
распространение информации,"распространить (сделать доступным, известным)",1
разнести (распространить),"распространить (сделать доступным, известным)",1
насильственное насаждение,"распространить (сделать доступным, известным)",1
"замкнутый, необщительный",трудный по характеру,1
"размеренный (ритмичный, неторопливый)","неторопливый, неспешный",1
медицинский диагноз,медицинское заключение,1
прославленный,знаменитый,1
легендарный (широкоизвестный),знаменитый,1
телерадиокомпания,компания,1
иностранная компания,компания,1
компания-монополист,компания,1
телекоммуникационная компания,компания,1
авиастроительная компания,компания,1
пивоваренная компания,компания,1
стартап-компания,компания,1
фиктивная фирма,компания,1
аффилированная компания,компания,1
автомобильная компания,компания,1
оператор услуг,компания,1
нервировать,возбудить (привести в возбужденное состояние),1
воодушевить,возбудить (привести в возбужденное состояние),1
авторучка,ручка для письма,1
проломать отверстие,пробивание отверстия,1
прорубить отверстие,пробивание отверстия,1
перфорировать,пробивание отверстия,1
прострелить отверстие,пробивание отверстия,1
таранить (наносить удар),пробивание отверстия,1
москва,город федерального значения,1
санкт-петербург,город федерального значения,1
севастополь,город федерального значения,1
пируэт,"кружиться, совершать круговые движения",1
зависание в воздухе,"кружиться, совершать круговые движения",1
завихриться,"кружиться, совершать круговые движения",1
экологическое преступление,экологическое правонарушение,1
внешняя торговля,внешнеэкономические отношения,1
экономические санкции,внешнеэкономические отношения,1
международное экономическое сотрудничество,внешнеэкономические отношения,1
коммунальное строительство,промышленно-транспортное строительство,1
промышленное строительство,промышленно-транспортное строительство,1
транспортное строительство,промышленно-транспортное строительство,1
диапозитив,позитив (фотографическое изображение),1
зачет по учебному предмету,ставить оценку,1
аттестация учащегося,ставить оценку,1
шашечка (узор),клетка (узор),1
присяжный заседатель,заседатель,1
дорогой по цене,чрезмерный,1
"рослый, высокого роста",чрезмерный,1
"качественный, высокого качества",чрезмерный,1
завышенный,чрезмерный,1
сверхплановый,чрезмерный,1
болезненный (чрезмерный),чрезмерный,1
растянутый (чрезмерно длинный),чрезмерный,1
"захватить, завладеть","отнять, лишить",1
"обезоружить, отнять оружие","отнять, лишить",1
"развенчать (лишить уважения,  признания)","отнять, лишить",1
обезводить (лишить жидкости),"отнять, лишить",1
лишить руководства,"отнять, лишить",1
лишение права,"отнять, лишить",1
лишение имущества,"отнять, лишить",1
дипломатическое представительство,зарубежное представительство,1
торговое представительство,зарубежное представительство,1
ресурсосбережение,"экономия, экономное расходование",1
экономия средств,"экономия, экономное расходование",1
овод,муха,1
цеце,муха,1
"спаситель, спасительница",избавитель,1
гусеничная лента,полотно (устройство),1
"отечный, отекший",опухлый,1
"воспаленный, воспалившийся",опухлый,1
"жатва, уборка зерновых",уборочные работы,1
жать зерновые,уборочные работы,1
коммерческий подкуп,преступление против интересов службы,1
ныряние в воду,погрузиться в жидкость,1
"тонуть, идти ко дну",погрузиться в жидкость,1
купаться,погрузиться в жидкость,1
плавание с аквалангом,погрузиться в жидкость,1
тонуть в вязком,погрузиться в жидкость,1
эстакада,путепровод,1
виадук,путепровод,1
цветастый,яркий по цвету,1
сочный по цвету,яркий по цвету,1
резкий по цвету,яркий по цвету,1
вольная борьба,спортивная борьба,1
греко-римская борьба,спортивная борьба,1
борьба сумо,спортивная борьба,1
восточные единоборства,спортивная борьба,1
микропроцессор,микросхема,1
ядро процессора,микросхема,1
налоговое освобождение,льготное налогообложение,1
курьер,посыльный (работник),1
алкогольный напиток,спиртосодержащая продукция,1
этиловый спирт,спиртосодержащая продукция,1
одеколон,спиртосодержащая продукция,1
виноматериалы,спиртосодержащая продукция,1
незаменимый,уникальный,1
подача в игре,удар по мячу,1
удар по мячу в футболе,удар по мячу,1
навесной удар,удар по мячу,1
повредить,причинение вреда,1
"убить, лишить жизни",причинение вреда,1
отравить ядовитым веществом,причинение вреда,1
перекормить,причинение вреда,1
"злоупотребление, чрезмерное потребление",причинение вреда,1
тереть (причинить боль),причинение вреда,1
"укусить, покусать",причинение вреда,1
"поразить (повредить, причинив ущерб здоровью)",причинение вреда,1
подлый поступок,причинение вреда,1
"подстроить, устроить неприятности",причинение вреда,1
"сглаз, порча",причинение вреда,1
"подорвать, расшатать",причинение вреда,1
"бедокурить, шкодничать",причинение вреда,1
медвежья услуга,причинение вреда,1
"интрига, козни",причинение вреда,1
залечить (причинить вред),причинение вреда,1
"ослепить, лишить зрения",причинение вреда,1
"подвести, подкачать",причинение вреда,1
передозировать,причинение вреда,1
невиновное причинение вреда,причинение вреда,1
преднамеренно вредить,причинение вреда,1
перенапрячься,причинение вреда,1
априорный,предварительный (предшествующий),1
заблаговременный,предварительный (предшествующий),1
щебень,обломок (кусок),1
осколок (отколовшийся кусок),обломок (кусок),1
"щепка, щепа",обломок (кусок),1
биржевое котирование,"оценить, определить цену",1
уценка товара,"оценить, определить цену",1
"переоценить, завысить цену","оценить, определить цену",1
"недооценить, занизить цену","оценить, определить цену",1
садовник,садовод (растениевод),1
лесозаготовительное предприятие,предприятие лесной промышленности,1
деревообрабатывающее предприятие,предприятие лесной промышленности,1
забор воды,водопользование,1
"свита, сопровождающие лица","окружение, окружающие люди",1
королевский двор,"окружение, окружающие люди",1
когорта соратников,"окружение, окружающие люди",1
социальное окружение,"окружение, окружающие люди",1
команда (окружение),"окружение, окружающие люди",1
место предварительного заключения,тюремная камера,1
карцер,тюремная камера,1
одиночная камера,тюремная камера,1
камера смертников,тюремная камера,1
камера временного задержания,тюремная камера,1
эпифитотия,"распространиться, получить распространение",1
растечься в разные стороны,"распространиться, получить распространение",1
метастаз,"распространиться, получить распространение",1
рассеяться (расположиться),"распространиться, получить распространение",1
переброситься (распространиться),"распространиться, получить распространение",1
глобализация,"распространиться, получить распространение",1
просочиться (постепенно распространиться),"распространиться, получить распространение",1
широкое распространение,"распространиться, получить распространение",1
распространение в обществе,"распространиться, получить распространение",1
ручная тележка,тележка,1
"премия ""оскар""",кинопремия,1
медицинская экспертиза,освидетельствование,1
"стимул, толчок",причина явления,1
